instance,parent,issue_type,dead_names,missing_slots,visual_tier,sibling_group,lookdev_note
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Music_SunsetEQ,/Game/_PROJECT/04_Materials/SDF/M_SDF_Musical.M_SDF_Musical,OK,,,HERO,,Live overrides present
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_MusicalSDF_AmberGlow,/Game/_PROJECT/04_Materials/SDF/M_MusicalSDF_PulsingGeometry.M_MusicalSDF_PulsingGeometry,OK,,,HERO,,Live overrides present
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_MusicalSDF_CyanPulse,/Game/EnvSandbox/Materials/SDF/Instances/MI_SDF_TealCeramic.MI_SDF_TealCeramic,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_MusicalSDF_PulsingGeometry,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Parallax_FLAT_TEST,/Game/_PROJECT/04_Materials/SDF/M_SDF_TrueParallax.M_SDF_TrueParallax,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_Baroque,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_BaroqueColumn,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_CathedralVault,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_CosmicPortal,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_CrystallineSpire,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
